step_ld_2,U_ld_2,RF_ld_2,step_ld_4,U_ld_4,RF_ld_4
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.006000000000000001,0.9090000000000006,2.0,0.006000000000000001,0.9090000000000006
2.01,0.009000000000000001,1.3635000000000015,2.01,0.009000000000000001,1.3635000000000013
2.02,0.012,1.8180000000000016,2.02,0.012,1.8180000000000007
2.03,0.015,2.2725000000000017,2.03,0.015,2.272500000000001
2.04,0.018000000000000002,2.727000000000002,2.04,0.018000000000000002,2.7270000000000008
2.05,0.021,3.1815000000000024,2.05,0.021,3.1815000000000007
2.06,0.024000000000000004,3.6360000000000015,2.06,0.024000000000000004,3.636000000000001
2.07,0.027,4.090500000000001,2.07,0.027,4.0905
2.08,0.03,4.545000000000003,2.08,0.03,4.545000000000001
2.09,0.032999999999999995,4.999500000000002,2.09,0.032999999999999995,4.999499999999999
2.1,0.03599999999999999,5.4540000000000015,2.1,0.03599999999999999,5.453999999999999
2.11,0.03899999999999999,5.908500000000003,2.11,0.03899999999999999,5.908499999999999
2.12,0.04199999999999998,6.363000000000003,2.12,0.04199999999999998,6.362999999999997
2.13,0.04499999999999998,6.817500000000003,2.13,0.04499999999999998,6.817499999999997
2.14,0.04799999999999999,7.272000000000002,2.14,0.04799999999999999,7.271999999999997
2.15,0.05099999999999998,7.7265000000000015,2.15,0.05099999999999998,7.726499999999997
2.16,0.05399999999999999,8.181000000000001,2.16,0.05399999999999999,8.180999999999997
2.17,0.056999999999999995,8.6355,2.17,0.056999999999999995,8.635499999999995
2.18,0.05999999999999999,9.09,2.18,0.05999999999999999,9.089999999999993
2.19,0.063,9.531606925827347,2.19,0.063,9.531606925827363
2.2,0.066,9.956887319777353,2.2,0.066,9.956887319777376
2.21,0.069,10.380018103986904,2.21,0.069,10.380018103986918
2.22,0.07200000000000001,10.800845058671653,2.22,0.07200000000000001,10.800845058671632
2.23,0.07500000000000001,11.219205509454696,2.23,0.07500000000000001,11.219205509454648
2.24,0.07800000000000001,11.634928352651176,2.24,0.07800000000000001,11.63492835265117
2.25,0.08100000000000002,12.0478341564544,2.25,0.08100000000000002,12.047834156454412
2.26,0.08400000000000003,12.457735369690049,2.26,0.08400000000000003,12.457735369690075
2.27,0.08700000000000002,12.864436647936223,2.27,0.08700000000000002,12.864436647936202
2.28,0.09000000000000001,13.267735308907207,2.28,0.09000000000000001,13.267735308907216
2.29,0.09300000000000001,13.66742192766996,2.29,0.09300000000000001,13.66742192766996
2.3,0.09600000000000003,14.063281080284275,2.3,0.09600000000000003,14.063281080284215
2.31,0.09900000000000003,14.455092241782083,2.31,0.09900000000000003,14.455092241782022
2.32,0.10200000000000004,14.842630841009884,2.32,0.10200000000000004,14.842630841009932
2.33,0.10500000000000004,15.225669470779888,2.33,0.10500000000000004,15.225669470779888
2.3400000000000003,0.10800000000000004,15.60397924708682,2.3400000000000003,0.10800000000000004,15.6039792470868
2.35,0.11100000000000004,15.977331305975843,2.35,0.11100000000000004,15.97733130597586
2.3600000000000003,0.11400000000000005,16.345498421193234,2.3600000000000003,0.11400000000000005,16.34549842119325
2.37,0.11700000000000003,16.70825672024948,2.37,0.11700000000000003,16.70825672024947
2.3800000000000003,0.12000000000000004,17.06538747127354,2.3800000000000003,0.12000000000000004,17.065387471273567
2.39,0.12300000000000004,17.416678908348786,2.39,0.12300000000000004,17.41667890834868
2.4000000000000004,0.12600000000000003,17.761928059218796,2.4000000000000004,0.12600000000000003,17.761928059218853
2.41,0.12900000000000003,18.1009425366404,2.41,0.12900000000000003,18.100942536640456
2.4200000000000004,0.13200000000000006,18.43354225347816,2.4200000000000004,0.13200000000000006,18.433542253478176
2.43,0.13500000000000006,18.75956102207862,2.43,0.13500000000000006,18.75956102207857
2.4400000000000004,0.13800000000000007,19.078848000567696,2.4400000000000004,0.13800000000000007,19.078848000567664
2.45,0.14100000000000007,19.39126895248648,2.45,0.14100000000000007,19.3912689524864
2.4600000000000004,0.14400000000000007,19.69670729141568,2.4600000000000004,0.14400000000000007,19.696707291415823
2.47,0.14700000000000008,19.995064888731186,2.47,0.14700000000000008,19.995064888731164
2.4800000000000004,0.15000000000000008,20.286262629964163,2.4800000000000004,0.15000000000000008,20.28626262996428
2.49,0.15300000000000008,20.57024071308567,2.49,0.15300000000000008,20.570240713085585
2.5,0.15600000000000008,20.846958689885664,2.5,0.15600000000000008,20.84695868988578
2.51,0.15900000000000009,21.11639525913148,2.51,0.15900000000000009,21.116395259131707
2.5200000000000005,0.1620000000000001,21.378547827055055,2.5200000000000005,0.1620000000000001,21.378547827055144
2.53,0.1650000000000001,21.63343185554495,2.53,0.1650000000000001,21.633431855544927
2.54,0.16800000000000007,21.88108002605755,2.54,0.16800000000000007,21.881080026057887
2.55,0.17100000000000012,22.121541244164128,2.55,0.17100000000000012,22.12154124416372
2.5600000000000005,0.17400000000000007,22.354879518951957,2.5600000000000005,0.17400000000000007,22.35487951895205
2.57,0.17700000000000013,22.581172746725223,2.57,0.17700000000000013,22.581172746724818
2.58,0.18000000000000008,22.80051142896351,2.58,0.18000000000000008,22.800511428963382
2.5900000000000003,0.1830000000000001,23.01299735434348,2.5900000000000003,0.1830000000000001,23.012997354343767
2.6000000000000005,0.18600000000000008,23.21874227042217,2.6000000000000005,0.18600000000000008,23.218742270422126
2.6100000000000003,0.1890000000000001,23.41786656858515,2.6100000000000003,0.1890000000000001,23.417866568585072
2.62,0.1920000000000001,23.610498002299664,2.62,0.1920000000000001,23.610498002299384
2.6300000000000003,0.19500000000000012,23.79677045530697,2.6300000000000003,0.19500000000000012,23.796770455307108
2.6400000000000006,0.1980000000000001,23.97682277299096,2.6400000000000006,0.1980000000000001,23.976822772991103
2.6500000000000004,0.20100000000000012,24.150797666888952,2.6500000000000004,0.20100000000000012,24.15079766688885
2.66,0.20400000000000007,24.318840699307884,2.66,0.20400000000000007,24.318840699307508
2.6700000000000004,0.20700000000000013,24.48109935230324,2.6700000000000004,0.20700000000000013,24.481099352303367
2.6800000000000006,0.21000000000000008,24.63772218293162,2.6800000000000006,0.21000000000000008,24.637722182931583
2.6900000000000004,0.21300000000000016,24.788858064701223,2.6900000000000004,0.21300000000000016,24.788858064701415
2.7,0.21600000000000008,24.934655513528096,2.7,0.21600000000000008,24.934655513528615
2.7100000000000004,0.21900000000000017,25.075262095210892,2.7100000000000004,0.21900000000000017,25.07526209521088
2.7200000000000006,0.2220000000000001,25.21082391047258,2.7200000000000006,0.2220000000000001,25.21082391047233
2.7300000000000004,0.22500000000000017,25.34148515291925,2.7300000000000004,0.22500000000000017,25.341485152919248
2.74,0.2280000000000001,25.46738773480604,2.74,0.2280000000000001,25.46738773480656
2.7500000000000004,0.23100000000000015,25.58867097525904,2.7500000000000004,0.23100000000000015,25.588670975258857
2.7600000000000007,0.23400000000000007,25.705471345499156,2.7600000000000007,0.23400000000000007,25.70547134549886
2.7700000000000005,0.23700000000000015,25.817922265677623,2.7700000000000005,0.23700000000000015,25.8179222656777
2.78,0.24000000000000007,25.926153948070848,2.78,0.24000000000000007,25.926153948070574
2.7900000000000005,0.24300000000000016,26.03029328160145,2.7900000000000005,0.24300000000000016,26.030293281601395
2.8000000000000007,0.2460000000000001,26.130463752956494,2.8000000000000007,0.2460000000000001,26.13046375295664
2.8100000000000005,0.24900000000000017,26.22678539986913,2.8100000000000005,0.24900000000000017,26.226785399868582
2.82,0.25200000000000017,26.31937479245304,2.82,0.25200000000000017,26.31937479245275
2.8300000000000005,0.25500000000000017,26.408345038885606,2.8300000000000005,0.25500000000000017,26.408345038886004
2.8400000000000007,0.2580000000000002,26.493805811671436,2.8400000000000007,0.2580000000000002,26.49380581167142
2.8500000000000005,0.2610000000000002,26.575863393177794,2.8500000000000005,0.2610000000000002,26.57586339317787
2.8600000000000003,0.2640000000000002,26.65462073350996,2.8600000000000003,0.2640000000000002,26.654620733510185
2.8700000000000006,0.2670000000000002,26.730177523646255,2.8700000000000006,0.2670000000000002,26.730177523646585
2.880000000000001,0.2700000000000002,26.802630277741688,2.880000000000001,0.2700000000000002,26.8026302777418
2.8900000000000006,0.2730000000000002,26.872072424208906,2.8900000000000006,0.2730000000000002,26.872072424209225
2.9000000000000004,0.27600000000000013,26.93859440364424,2.9000000000000004,0.27600000000000013,26.938594403643886
2.9100000000000006,0.27900000000000014,27.002283772140405,2.9100000000000006,0.27900000000000014,27.00228377214057
2.920000000000001,0.28200000000000014,27.063225308719964,2.920000000000001,0.28200000000000014,27.06322530871988
2.9300000000000006,0.28500000000000014,27.121501125785088,2.9300000000000006,0.28500000000000014,27.12150112578505
2.9400000000000004,0.2880000000000002,27.177190781657536,2.9400000000000004,0.2880000000000002,27.177190781657167
2.9500000000000006,0.2910000000000002,27.230371394404948,2.9500000000000006,0.2910000000000002,27.230371394404628
2.960000000000001,0.2940000000000002,27.281117756260496,2.960000000000001,0.2940000000000002,27.281117756260304
2.9700000000000006,0.2970000000000002,27.329502448084295,2.9700000000000006,0.2970000000000002,27.32950244808408
2.9800000000000004,0.3000000000000002,27.375595953364755,2.9800000000000004,0.3000000000000002,27.375595953364535
2.9900000000000007,0.3030000000000002,27.419466771349988,2.9900000000000007,0.3030000000000002,27.41946677134968
3.0,0.306,27.461181528958907,3.0,0.306,27.461181528959216
3.01,0.309,27.500805096260887,3.01,0.309,27.50080509626132
3.02,0.312,27.538400669055807,3.02,0.312,27.538400669056045
3.03,0.315,27.574029925617477,3.03,0.315,27.57402992561743
3.04,0.318,27.60775307074312,3.04,0.318,27.60775307074277
3.05,0.321,27.639625194946834,3.05,0.321,27.639625194949037
3.06,0.324,27.66971267461313,3.06,0.324,27.669712674613685
3.07,0.327,27.698067025530236,3.07,0.327,27.69806702553089
3.08,0.33,27.724742533551545,3.08,0.33,27.724742533551726
3.09,0.333,27.749794765170694,3.09,0.333,27.7497947651707
3.1,0.336,27.773278218894642,3.1,0.336,27.77327821889531
3.11,0.339,27.79324804780949,3.11,0.339,27.79324804780939
3.110009765625,0.33900292968749995,27.793274596987708,3.110009765625,0.33900292968749995,27.79327459698783
3.11001953125,0.339005859375,27.793293306907337,3.11001953125,0.339005859375,27.793293306907497
3.110029296875,0.3390087890625,27.79330934499831,3.110029296875,0.3390087890625,27.793309344998143
3.11003173828125,0.33900952148437496,27.79331541786456,3.11003173828125,0.33900952148437496,27.793315417864164
3.1100341796875,0.33901025390625,27.7933208402451,3.1100341796875,0.33901025390625,27.793320840244725
3.11003662109375,0.33901098632812493,27.79332994105412,3.11003662109375,0.33901098632812493,27.79332994105392
3.1100390625,0.3390117187499999,27.793337477194676,3.1100390625,0.3390117187499999,27.79333747719445
3.1100400625,0.3390120187499999,27.793321694610906,3.1100400625,0.3390120187499999,27.793321694610746
3.1100410625,0.3390123187499999,27.79332655632997,3.1100410625,0.3390123187499999,27.793326556329266
3.1100420625,0.33901261874999994,27.793333700704423,3.1100420625,0.33901261874999994,27.793333700704576
3.1100431625,0.33901294875,27.79333459994571,3.1100431625,0.33901294875,27.79333459994583
3.1100442625,0.3390132787499999,27.793332018465257,3.1100442625,0.3390132787499999,27.7933320184654
3.1100453625,0.3390136087499999,27.793339900427966,3.1100453625,0.3390136087499999,27.793339900428183
3.1100464625,0.3390139387499999,27.79333445200773,3.1100464625,0.3390139387499999,27.793334452006697
3.1100475625,0.3390142687499999,27.793338265534043,3.1100475625,0.3390142687499999,27.793338265533
3.1100486625,0.3390145987499999,27.793347526087487,3.1100486625,0.3390145987499999,27.793347526087416
3.1100498725,0.33901496174999995,27.793355204337303,3.1100498725,0.33901496174999995,27.7933552043374
3.1100512035,0.3390153610499999,27.7933515126385,3.1100512035,0.3390153610499999,27.793351512638427
3.1100525345,0.3390157603499999,27.79335311689608,3.1100525345,0.3390157603499999,27.793353116895855
3.1100538655,0.3390161596499999,27.793352399240742,3.1100538655,0.3390161596499999,27.793352399240064
3.1100551965,0.3390165589499999,27.79335663898872,3.1100551965,0.3390165589499999,27.793356638988136
3.1100566606,0.3390169981799999,27.79336180238178,3.1100566606,0.3390169981799999,27.7933618023814
3.1100581247,0.3390174374099999,27.79337046296713,3.1100581247,0.3390174374099999,27.793370462966752
3.1100595888,0.3390178766399999,27.79337560090155,3.1100595888,0.3390178766399999,27.79337560090141
3.1100605888,0.33901817663999995,27.793361629196706,3.1100605888,0.33901817663999995,27.79336162919634
3.1100615888,0.3390184766399999,27.793365787399814,3.1100615888,0.3390184766399999,27.793365787399694
3.1100625888,0.3390187766399999,27.79336924788979,3.1100625888,0.3390187766399999,27.793369247889466
3.1100636888,0.3390191066399999,27.79335774733829,3.1100636888,0.3390191066399999,27.793357747337716
3.1100647888,0.3390194366399999,27.79336831341301,3.1100647888,0.3390194366399999,27.793368313412508
3.1100659988,0.3390197996399999,27.79337820913453,3.1100659988,0.3390197996399999,27.793378209134087
3.1100673298,0.3390201989399999,27.793381076499795,3.1100673298,0.3390201989399999,27.79338107649928
3.1100686608,0.3390205982399999,27.79337659015277,3.1100686608,0.3390205982399999,27.79337659015131
3.1100699918,0.3390209975399998,27.79337012677285,3.1100699918,0.3390209975399998,27.793370126772725
3.1100713228,0.33902139683999993,27.79338030556381,3.1100713228,0.33902139683999993,27.793380305563797
3.1100726538,0.33902179613999994,27.79338685938807,3.1100726538,0.33902179613999994,27.793386859388345
3.1100739848,0.33902219543999995,27.793397927167742,3.1100739848,0.33902219543999995,27.793397927168343
3.1100754489,0.3390226346699999,27.793398514451464,3.1100754489,0.3390226346699999,27.79339851445147
3.110076913,0.3390230738999999,27.79340101833372,3.110076913,0.3390230738999999,27.79340101833336
3.1100783771,0.3390235131299999,27.793376984579368,3.1100783771,0.3390235131299999,27.793376984579044
3.1100798412,0.3390239523599999,27.793383175456803,3.1100798412,0.3390239523599999,27.79338317545627
3.1100813053,0.3390243915899999,27.793384478975653,3.1100813053,0.3390243915899999,27.793384478975327
3.1100827694,0.33902483081999985,27.793395391962672,3.1100827694,0.33902483081999985,27.7933953919625
3.11008437991,0.3390253139729998,27.79339977962084,3.11008437991,0.3390253139729998,27.793399779620763
3.11008599042,0.33902579712599984,27.79340777143183,3.11008599042,0.33902579712599984,27.79340777143149
3.110087761981,0.3390263285942998,27.79341457102555,3.110087761981,0.3390263285942998,27.79341457102553
3.110089533542,0.33902686006259974,27.79340651139863,3.110089533542,0.33902686006259974,27.793406511398366
3.110091305103,0.33902739153089967,27.793408141930172,3.110091305103,0.33902739153089967,27.7934081419294
3.110093076664,0.33902792299919976,27.793408864223046,3.110093076664,0.33902792299919976,27.793408864222684
3.110094848225,0.33902845446749974,27.793422066686286,3.110094848225,0.33902845446749974,27.793422066685764
3.110096619786,0.33902898593579966,27.793414424191177,3.110096619786,0.33902898593579966,27.79341442419052
3.110098391347,0.3390295174040997,27.793414704501977,3.110098391347,0.3390295174040997,27.793414704501767
3.110099391347,0.33902981740409965,27.79340925466768,3.110099391347,0.33902981740409965,27.793409254667765
3.110100391347,0.33903011740409966,27.793419344896023,3.110100391347,0.33903011740409966,27.793419344895987
3.110101391347,0.33903041740409967,27.793423447221308,3.110101391347,0.33903041740409967,27.793423447221695
3.110102391347,0.3390307174040997,27.793428178418168,3.110102391347,0.3390307174040997,27.793428178418296
3.110103391347,0.33903101740409974,27.79343508703272,3.110103391347,0.33903101740409974,27.793435087033007
3.110104391347,0.3390313174040997,27.793439134348887,3.110104391347,0.3390313174040997,27.79343913434895
3.110105391347,0.33903161740409976,27.793443464864666,3.110105391347,0.33903161740409976,27.79344346486456
3.110106391347,0.3390319174040998,27.79343979872169,3.110106391347,0.3390319174040998,27.793439798720726
3.110107391347,0.3390322174040998,27.793451257751613,3.110107391347,0.3390322174040998,27.793451257750995
3.110108491347,0.33903254740409977,27.793422657658983,3.110108491347,0.33903254740409977,27.793422657658887
3.110109591347,0.33903287740409976,27.793434980797063,3.110109591347,0.33903287740409976,27.79343498079684
3.110110801347,0.33903324040409966,27.793439030017275,3.110110801347,0.33903324040409966,27.79343903001717
3.110112011347,0.33903360340409977,27.79344329463989,3.110112011347,0.33903360340409977,27.7934432946396
3.110113342347,0.33903400270409967,27.793435016744468,3.110113342347,0.33903400270409967,27.7934350167443
3.110114673347,0.33903440200409973,27.79344090440828,3.110114673347,0.33903440200409973,27.79344090440752
3.110116004347,0.33903480130409974,27.793443796138888,3.110116004347,0.33903480130409974,27.793443796138508
3.110117335347,0.3390352006040998,27.793444417768445,3.110117335347,0.3390352006040998,27.79344441776795
3.110118666347,0.33903559990409987,27.793449895283462,3.110118666347,0.33903559990409987,27.79344989528311
3.110120130447,0.33903603913409974,27.7934499141835,3.110120130447,0.33903603913409974,27.793449914183128
3.110121594547,0.3390364783640998,27.793439235914732,3.110121594547,0.3390364783640998,27.793439235914228
3.110123058647,0.33903691759409976,27.79344349747544,3.110123058647,0.33903691759409976,27.793443497475167
3.110124522747,0.3390373568240997,27.793449177732104,3.110124522747,0.3390373568240997,27.793449177731706
3.110126133257,0.33903783997709974,27.793457437432245,3.110126133257,0.33903783997709974,27.79345743743203
3.110127904818,0.33903837144539967,27.79346585905409,3.110127904818,0.33903837144539967,27.79346585905405
3.1101298535351,0.3390389560605297,27.793473042089985,3.1101298535351,0.3390389560605297,27.79347304208961
3.11013199712391,0.3390395991371727,27.793457524551137,3.11013199712391,0.3390395991371727,27.793457524551048
3.11013414071272,0.33904024221381573,27.79346141249056,3.11013414071272,0.33904024221381573,27.793461412490732
3.11013628430153,0.3390408852904587,27.793471628643996,3.11013628430153,0.3390408852904587,27.79347162864389
3.11013728430153,0.33904118529045874,27.79346576763701,3.11013842789034,0.33904152836710166,27.7934651926216
3.1101382843015295,0.3390414852904587,27.79346446310111,3.1101405714791497,0.3390421714437448,27.793470655233264
3.11013928430153,0.33904178529045875,27.79347146527942,3.110142929426841,0.339042878828052,27.793478360261023
3.11014038430153,0.33904211529045875,27.7934789934984,3.110145523169301,0.33904365695079,27.793484949622073
3.11014159430153,0.3390424782904587,27.793484431639072,3.1101465231693006,0.3390439569507901,27.793471366692593
3.11014280430153,0.33904284129045875,27.79348679541208,3.1101475231693008,0.33904425695079005,27.793480369522733
3.1101440143015298,0.33904320429045876,27.793494488627967,3.110148523169301,0.33904455695079005,27.793485650409984
3.1101452243015295,0.33904356729045876,27.793504536135973,3.1101495231693006,0.33904485695079006,27.79349721976713
3.1101465553015295,0.3390439665904588,27.79348524847196,3.110150623169301,0.33904518695079006,27.793499259086943
3.1101478863015295,0.3390443658904588,27.79347473193073,3.110151723169301,0.33904551695079005,27.793508011990607
3.1101492173015295,0.3390447651904588,27.793486350014778,3.110152823169301,0.33904584695079004,27.793515460389145
3.1101506814015294,0.3390452044204588,27.793496690303343,3.1101540331693007,0.33904620995079005,27.793517126174933
3.1101522919115294,0.3390456875734588,27.793494957003475,3.110155243169301,0.33904657295079005,27.79348104384505
3.1101539024215294,0.3390461707264588,27.793500110595716,3.1101564531693007,0.3390469359507901,27.793486253070288
3.1101555129315295,0.33904665387945876,27.793507849433134,3.1101577841693007,0.33904733525079006,27.793491428513267
3.11015728449253,0.33904718534775874,27.793487289380167,3.110159248269301,0.33904777448079004,27.793495717216707
3.1101590560535297,0.33904771681605866,27.79349725666772,3.1101608587793006,0.33904825763379004,27.793500050858547
3.1101610047706294,0.33904830143118875,27.793496853085575,3.1101624692893006,0.33904874078679,27.793506984909374
3.1101629534877295,0.3390488860463188,27.793507365590354,3.1101640797993007,0.33904922393979003,27.793514167458543
3.11016490220483,0.3390494706614488,27.793513244746727,3.1101656903093007,0.33904970709279003,27.793508443487674
3.11016685092193,0.3390500552765789,27.79351999200605,3.1101673008193007,0.33905019024579,27.79351725923024
3.11016899451074,0.3390506983532218,27.793529013453718,3.1101689113293007,0.3390506733987901,27.793523048132
3.11017113809955,0.3390513414298648,27.79353703016971,3.1101705218393008,0.33905115655179,27.793518390408835
3.1101734960472407,0.33905204881417206,27.79352796404161,3.110172132349301,0.33905163970479,27.79352381439879
3.110175853994932,0.3390527561984793,27.793525525795395,3.110173742859301,0.33905212285779,27.793525555222725
3.110178211942623,0.3390534635827867,27.7935131510412,3.110175353369301,0.33905260601078996,27.793532755103648
3.1101805698903138,0.339054170967094,27.793519539131854,3.110176963879301,0.33905308916379,27.793524267900292
3.1101829278380047,0.3390548783514013,27.793529664030682,3.110178574389301,0.33905357231679,27.79353477401086
3.110185521580465,0.33905565647413927,27.79353523257088,3.110180184899301,0.33905405546979,27.793542172268484
3.110188115322925,0.33905643459687734,27.79353969818299,3.110181795409301,0.33905453862279006,27.79352822997707
3.1101907090653853,0.33905721271961536,27.793552081828025,3.110183405919301,0.33905502177579,27.79353524417064
3.1101935621820918,0.3390580686546272,27.79355471555576,3.110185016429301,0.33905550492879,27.79354263183008
3.1101964152987973,0.33905892458963893,27.79356247501508,3.1101866269393006,0.33905598808179,27.793550149302888
3.110199268415504,0.33905978052465074,27.793566226977344,3.1101882374493006,0.33905647123478994,27.7935598470822
3.1102021215322098,0.3390606364596626,27.793573908960497,3.1101892374493008,0.33905677123479,27.793523604744816
3.1102052599605865,0.33906157798817566,27.793582910055466,3.110190237449301,0.33905707123479,27.79352753324474
3.1102083983889632,0.3390625195166887,27.793547172001205,3.1101912374493006,0.33905737123479,27.793532005421856
3.11021153681734,0.33906346104520174,27.79355717176196,3.110192337449301,0.33905770123479,27.793536519200124
3.1102146752457167,0.3390644025737148,27.793570453284392,3.1101935474493008,0.33905806423479,27.79354177486811
3.1102156752457164,0.3390647025737148,27.79356469573108,3.1101948784493008,0.33905846353479,27.793547191257343
3.1102166752457165,0.3390650025737148,27.793559560544008,3.110195878449301,0.33905876353479,27.793536913824006
3.1102176752457167,0.33906530257371487,27.793567377489076,3.1101968784493006,0.33905906353479004,27.79354590052512
3.1102187752457167,0.33906563257371475,27.793577074448123,3.1101978784493007,0.33905936353479005,27.793553457291377
3.1102198752457166,0.33906596257371485,27.793589250714817,3.1101989784493007,0.33905969353479004,27.793560862029494
3.1102210852457164,0.3390663255737148,27.793594710952426,3.110200188449301,0.33906005653479004,27.79355891788633
3.1102222952457166,0.3390666885737148,27.793585611973057,3.1102013984493007,0.3390604195347901,27.793567578577765
3.110223505245717,0.3390670515737148,27.793590279336623,3.110202608449301,0.33906078253479005,27.793571926152016
