time,sum_RF1,avg_U1
0.0,0.0,0.0
0.0011406249832361937,623.1223945617676,0.005703125149011612
0.0026171875651925802,1238.7773933410645,0.01308593712747097
0.003566406201571226,1600.6709060668945,0.017832031473517418
0.0049902345053851604,2116.3050384521484,0.02495117112994194
0.007125976495444775,2882.479507446289,0.03562988340854645
0.010329590179026127,4585.427688598633,0.05164794996380806
0.013533202931284904,6079.348251342773,0.06766601651906967
0.016736816614866257,7429.348785400391,0.08368407934904099
0.01994043029844761,8666.832214355469,0.0997021496295929
0.023144042119383812,9809.886627197266,0.11572021245956421
0.026347655802965164,10869.979858398438,0.13173827528953552
0.029551269486546516,11856.19302368164,0.14775635302066803
0.03275488317012787,12783.134033203125,0.16377441585063934
0.03595849499106407,13655.556945800781,0.17979247868061066
0.03715985268354416,13973.007995605469,0.1857992559671402
0.03896188363432884,14434.863586425781,0.1948094218969345
0.040763914585113525,14882.52001953125,0.20381957292556763
0.04256594926118851,15317.703308105469,0.21282973885536194
0.04526899755001068,15984.644653320312,0.2263449877500534
0.04932356998324394,16974.80010986328,0.24661785364151
0.05135085806250572,17468.674560546875,0.2567542791366577
0.0533781424164772,17954.93084716797,0.2668907046318054
0.05641907453536987,18679.428100585938,0.28209537267684937
0.059460002928972244,19366.28955078125,0.2973000109195709
0.06250093132257462,20021.940002441406,0.3125046491622925
0.06364127993583679,20283.341369628906,0.31820639967918396
0.06535180658102036,20662.695190429688,0.32675901055336
0.0679175853729248,21209.313415527344,0.3395879566669464
0.07176626473665237,21981.633911132812,0.3588313162326813
0.0746527761220932,22531.981323242188,0.3732638657093048
0.07753928005695343,23055.715209960938,0.38769641518592834
0.08042579144239426,23552.61962890625,0.4021289348602295
0.08331229537725449,24029.911499023438,0.416561484336853
0.08403392136096954,24147.32244873047,0.4201696217060089
0.08583799004554749,24435.582153320312,0.4291899502277374
0.08746165037155151,24688.759216308594,0.43730825185775757
0.08989714086055756,25058.23370361328,0.449485719203949
0.0923326313495636,25416.9345703125,0.461663156747818
0.09476812183856964,25765.31719970703,0.4738406240940094
0.09720361232757568,26106.5810546875,0.4860180616378784
0.0984213575720787,26277.145141601562,0.4921067953109741
0.09933466464281082,26403.093994140625,0.4966733455657959
0.1007046326994896,26588.638549804688,0.5035231709480286
0.10275957733392715,26859.297729492188,0.5137978792190552
0.10481452196836472,27123.294555664062,0.5240725874900818
0.10686946660280228,27378.77783203125,0.5343473553657532
0.10892441123723984,27627.408569335938,0.5446220636367798
0.1109793558716774,27870.651245117188,0.5548967719078064
0.11303430050611496,28109.429077148438,0.5651715397834778
0.1161167249083519,28458.720458984375,0.5805836319923401
0.12074034661054611,28956.565063476562,0.6037017703056335
0.12189625203609467,29078.178955078125,0.6094812750816345
0.12305216491222382,29198.032836914062,0.6152608394622803
0.12478601932525635,29374.4833984375,0.6239300966262817
0.12738680839538574,29632.010009765625,0.6369340419769287
0.12998759746551514,29892.214111328125,0.6499379873275757
0.13063779473304749,29957.212890625,0.6531890034675598
0.13128799200057983,30021.476196289062,0.6564399600028992
0.13226328790187836,30116.369750976562,0.661316454410553
0.13372623920440674,30256.133544921875,0.6686311960220337
0.1359206587076187,30460.787475585938,0.6796032786369324
0.1381150782108307,30660.53955078125,0.690575361251831
0.14030948281288147,30856.858032226562,0.7015474438667297
0.14250390231609344,31048.571166992188,0.7125195264816284
0.14469832181930542,31235.947509765625,0.7234916090965271
0.14798994362354279,31507.958129882812,0.7399497628211975
0.15128156542778015,31770.385131835938,0.7564078569412231
0.1545732021331787,32027.872924804688,0.7728660106658936
0.15539610385894775,32091.053833007812,0.7769805192947388
0.1562190055847168,32153.498657226562,0.781095027923584
0.15745337307453156,32245.887939453125,0.7872668504714966
0.1593049019575119,32381.95458984375,0.7965245246887207
0.16208221018314362,32580.686889648438,0.8104110956192017
0.16485953330993652,32771.958984375,0.8242976069450378
0.16763684153556824,32957.24035644531,0.8381841778755188
0.17041414976119995,33136.617431640625,0.852070689201355
0.17319145798683167,33310.256103515625,0.8659572601318359
0.17596876621246338,33477.860595703125,0.8798438310623169
0.1787460744380951,33638.90808105469,0.8937303423881531
0.17944039404392242,33678.52331542969,0.8972019553184509
0.18013472855091095,33717.77294921875,0.9006736278533936
0.18117621541023254,33775.96875,0.9058810472488403
0.18221770226955414,33833.445556640625,0.9110885262489319
0.18325918912887573,33890.20324707031,0.9162960052490234
0.18482142686843872,33973.96496582031,0.9241071343421936
0.1871647834777832,34096.601806640625,0.935823917388916
0.19067981839179993,34273.82946777344,0.9533990621566772
0.19567981362342834,34511.616455078125,0.9783990979194641
0.20067982375621796,34732.88708496094,1.003399133682251
0.2013048231601715,34759.71862792969,1.0065240859985352
0.20208606123924255,34792.482177734375,1.0104303359985352
0.2038438767194748,34863.656005859375,1.0192193984985352
0.2054259181022644,34925.856689453125,1.0271295309066772
0.20779895782470703,35018.11669921875,1.0389947891235352
0.21135853230953217,35154.56750488281,1.0567926168441772
