time,sum_RF1,avg_U1
0.0,0.0,0.0
0.0011406249832361937,608.8220129013062,0.005703125149011612
0.0026171875651925802,1215.5146484375,0.01308593712747097
0.0032104491256177425,1447.982192993164,0.01605224609375
0.004545288160443306,2350.387134552002,0.02272644080221653
0.005746643058955669,3105.9307861328125,0.02873321622610092
0.0075486754067242146,4162.291030883789,0.037743378430604935
0.00935070775449276,5143.378105163574,0.04675354063510895
0.011152740567922592,6061.888565063477,0.05576370283961296
0.012954773381352425,6928.230545043945,0.06477386504411697
0.014756805263459682,7749.723602294922,0.07378402352333069
0.01655883714556694,8531.695999145508,0.082794189453125
0.018360869958996773,9277.843124389648,0.09180435538291931
0.020162902772426605,9991.142456054688,0.10081451386213303
0.021063918247818947,10338.131805419922,0.10531959682703018
0.02275332435965538,10968.455001831055,0.1137666255235672
0.02376696839928627,11335.139831542969,0.11883483827114105
0.02478061057627201,11693.780883789062,0.1239030584692955
0.026301076635718346,12216.731872558594,0.13150538504123688
0.0285817738622427,12969.68081665039,0.14290887117385864
0.02943703532218933,13244.76123046875,0.14718517661094666
0.030238842591643333,13498.846496582031,0.15119421482086182
0.031171884387731552,13789.738250732422,0.15585941076278687
0.03202810883522034,14051.913208007812,0.16014055907726288
0.033055584877729416,14360.787872314453,0.16527791321277618
0.034982096403837204,14923.338653564453,0.17491047084331512
0.036715954542160034,15411.048034667969,0.18357977271080017
0.03714941814541817,15531.085205078125,0.18574710190296173
0.03823308274149895,15827.164123535156,0.19116541743278503
0.039533477276563644,16175.10726928711,0.19766739010810852
0.04050877317786217,16430.102783203125,0.20254386961460114
0.04148406907916069,16680.716552734375,0.20742034912109375
0.04245936498045921,16927.241455078125,0.21229682862758636
0.0433737076818943,17155.145385742188,0.2168685346841812
0.04435090720653534,17394.824615478516,0.2217545360326767
0.04527667909860611,17617.988708496094,0.22638338804244995
0.04701249673962593,18026.451446533203,0.23506247997283936
0.04857473075389862,18383.454559326172,0.2428736537694931
0.0509180873632431,18901.0419921875,0.2545904219150543
0.05443311855196953,19640.062225341797,0.27216559648513794
0.059433117508888245,20639.184448242188,0.29716557264328003
0.06443312019109726,21671.27557373047,0.3221655786037445
0.06943311542272568,22660.564483642578,0.347165584564209
0.07443311810493469,23588.861450195312,0.37216559052467346
0.07943311333656311,24438.802673339844,0.39716559648513794
0.08068311959505081,24652.273315429688,0.40341559052467346
0.08255811780691147,24985.836486816406,0.41279059648513794
0.08443311601877213,25315.370208740234,0.42216557264328003
0.08630811423063278,25632.021240234375,0.4315405786037445
0.08912061899900436,26083.608337402344,0.44560307264328003
0.09017530083656311,26255.681213378906,0.45087653398513794
0.09175733476877213,26506.31756591797,0.45878666639328003
0.09413038194179535,26866.236450195312,0.47065192461013794
0.09502027183771133,26997.990295410156,0.47510138154029846
0.09635511040687561,27192.898803710938,0.48177558183670044
0.09704338759183884,27297.094360351562,0.4852169454097748
0.09814326465129852,27459.48779296875,0.4907163083553314
0.09903416037559509,27587.54278564453,0.49517080187797546
0.10003641992807388,27727.546997070312,0.5001820921897888
0.10143958777189255,27921.61932373047,0.507197916507721
0.10256712883710861,28076.79833984375,0.5128356218338013
0.10358191281557083,28214.334838867188,0.517909586429596
0.10453327745199203,28341.463989257812,0.5226663947105408
0.10538950562477112,28456.387756347656,0.5269474983215332
0.1061922162771225,28564.186645507812,0.5309610962867737
0.10712631046772003,28687.795776367188,0.535631537437439
0.10817637294530869,28824.020751953125,0.540881872177124
0.1093471497297287,28972.978515625,0.5467357635498047
0.11007944494485855,29064.58056640625,0.5503972172737122
0.11145250499248505,29232.996215820312,0.5572625398635864
0.1122763380408287,29332.149658203125,0.5613816976547241
0.11310017853975296,29430.262817382812,0.5655008554458618
0.11456762999296188,29603.19451904297,0.5728381872177124
0.11521930247545242,29681.900756835938,0.5760964751243591
0.11639229953289032,29821.06640625,0.5819615125656128
0.11785855144262314,29990.29522705078,0.5892927646636963
0.11818845570087433,30027.799560546875,0.5909422636032104
0.11942560225725174,30166.32403564453,0.5971280336380005
0.12053903937339783,30288.103271484375,0.6026951670646667
0.12220919132232666,30465.82684326172,0.6110459566116333
0.12471441179513931,30722.134765625,0.623572051525116
0.12534071505069733,30784.86376953125,0.6267036199569702
0.12690648436546326,30938.40692138672,0.6345324516296387
0.1272587776184082,30972.421875,0.6362939476966858
0.12857989966869354,31101.84686279297,0.6428995132446289
0.12932302057743073,31174.36376953125,0.6466151475906372
0.13024264574050903,31262.901428222656,0.6512132287025452
0.13118316233158112,31352.06512451172,0.6559158563613892
0.13202963769435883,31431.304321289062,0.6601482033729553
0.1335374116897583,31570.856018066406,0.6676870584487915
0.13425160944461823,31636.122924804688,0.6712580919265747
0.13603714108467102,31797.414184570312,0.6801856756210327
0.13764409720897675,31938.945434570312,0.6882205009460449
0.14005455374717712,32144.587829589844,0.7002727389335632
0.1436702311038971,32439.77801513672,0.7183511257171631
0.1445741504430771,32511.854370117188,0.7228707671165466
0.14547806978225708,32583.152893066406,0.7273903489112854
0.14638198912143707,32653.676330566406,0.7319099307060242
0.14728590846061707,32723.53680419922,0.7364295125007629
0.14864178001880646,32829.091369628906,0.7432089447975159
0.14999766647815704,32932.77508544922,0.749988317489624
0.15135353803634644,33034.57775878906,0.7567676901817322
0.15270942449569702,33134.57696533203,0.7635471224784851
0.1540652960538864,33232.787841796875,0.7703264951705933
0.1560991257429123,33376.61022949219,0.7804955840110779
